央视频道,#genre#
CCTV-1,http://120.70.60.179:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://60.212.134.243:85/tsfile/live/26/2001_1.m3u8?key=txiptv
CCTV-1,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV-1,http://125.43.249.64:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://110.72.55.189:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://110.72.78.203:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://42.237.163.143:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://114.241.106.76:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV-1,http://222.85.198.92:8000/hls/1/index.m3u8
CCTV-1,http://113.9.184.210:9003/hls/3001/index.m3u8
CCTV-2,http://60.212.134.243:85/tsfile/live/27/2002_1.m3u8?key=txiptv
CCTV-2,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV-2,http://114.241.106.139:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV-2,http://113.9.184.210:9003/hls/3002/index.m3u8
CCTV-2,http://114.241.106.76:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV-2,http://42.237.163.143:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://110.72.55.189:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.85.198.92:8000/hls/2/index.m3u8
CCTV-2,http://139.227.221.179:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://154.12.36.187:656/index.php?token=2025&id=cctv2
CCTV-3,http://60.212.134.243:85/tsfile/live/28/2003_1.m3u8?key=txiptv
CCTV-3,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV-3,http://114.241.106.139:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV-3,http://114.241.106.76:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV-3,http://222.85.198.92:8000/hls/3/index.m3u8
CCTV-3,http://42.237.163.143:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://113.9.184.210:9003/hls/3003/index.m3u8
CCTV-3,http://154.12.36.187:656/index.php?token=2025&id=cctv3
CCTV-3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV-3,http://139.227.221.179:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://60.212.134.243:85/tsfile/live/29/2004_1.m3u8?key=txiptv
CCTV-4,http://114.241.106.139:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV-4,http://60.10.139.113:8801/hls/4/index.m3u8
CCTV-4,http://222.85.198.92:8000/hls/4/index.m3u8
CCTV-4,http://114.241.106.76:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV-4,http://110.72.78.203:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://42.237.163.143:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://110.72.55.189:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://139.227.221.179:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://154.12.36.187:656/index.php?token=2025&id=cctv4
CCTV-5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV-5,http://114.241.106.139:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV-5,http://60.212.134.243:85/tsfile/live/30/2005_1.m3u8?key=txiptv
CCTV-5,http://222.85.198.92:8000/hls/5/index.m3u8
CCTV-5,http://113.9.184.210:9003/hls/3005/index.m3u8
CCTV-5,http://42.237.163.143:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://114.241.106.76:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1_td.m3u8
CCTV-5,http://175.22.10.193:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://60.10.139.113:8801/hls/15/index.m3u8
CCTV-5+,http://114.241.106.76:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV-5+,http://110.72.7.55:808/hls/16/index.m3u8
CCTV-5+,http://114.241.106.139:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV-5+,http://42.237.163.143:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://113.9.184.210:9003/hls/3018/index.m3u8
CCTV-5+,http://110.72.78.203:8181/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV-5+,http://124.165.251.82:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://154.12.36.187:656/index.php?token=2025&id=cctv5p
CCTV-6,http://60.212.134.243:85/tsfile/live/31/2006_1.m3u8?key=txiptv
CCTV-6,http://114.241.106.139:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV-6,http://60.10.139.113:8801/hls/6/index.m3u8
CCTV-6,http://114.241.106.76:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV-6,http://222.85.198.92:8000/hls/6/index.m3u8
CCTV-6,http://113.9.184.210:9003/hls/3006/index.m3u8
CCTV-6,http://124.165.251.82:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://139.227.221.179:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6,http://175.22.10.193:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://42.237.163.143:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://114.241.106.139:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV-7,http://60.212.134.243:85/tsfile/live/32/2007_1.m3u8?key=txiptv
CCTV-7,http://60.10.139.113:8801/hls/7/index.m3u8
CCTV-7,http://222.85.198.92:8000/hls/7/index.m3u8
CCTV-7,http://110.72.7.55:808/hls/7/index.m3u8
CCTV-7,http://114.241.106.76:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV-7,http://113.9.184.210:9003/hls/3007/index.m3u8
CCTV-7,http://110.72.55.189:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://139.227.221.179:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://110.72.78.203:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://60.10.139.113:8801/hls/8/index.m3u8
CCTV-8,http://114.241.106.139:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV-8,http://222.85.198.92:8000/hls/8/index.m3u8
CCTV-8,http://42.237.163.143:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://113.9.184.210:9003/hls/3008/index.m3u8
CCTV-8,http://114.241.106.76:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV-8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://175.22.10.193:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://154.12.36.187:656/index.php?token=2025&id=cctv8
CCTV-8,http://h.vanshun.com:8802/udp/239.49.8.77:8000
CCTV-9,http://114.241.106.139:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV-9,http://60.10.139.113:8801/hls/9/index.m3u8
CCTV-9,http://110.72.7.55:808/hls/9/index.m3u8
CCTV-9,http://113.9.184.210:9003/hls/3009/index.m3u8
